state,age,grade,hours,num612,num1317,youngest,othrlt18,othrge18,bmodk5,white,centcity,public,quarter,numge18
1,29.25,12,44,1,0,5,0,0,45,1,0,1,0,0
1,23.5,12,0,0,0,3,0,0,48,0,0,0,3,0
1,21.5,12,0,0,0,1,0,0,1,0,0,0,2,0
1,34.5,12,40,3,1,5,0,0,1,0,0,1,2,0
1,28.5,13,32,1,0,5,0,0,1,1,0,1,2,0
1,38.75,10,40,1,3,5,0,0,1,0,0,1,2,2
1,24.5,12,0,0,0,3,0,0,34,0,0,1,2,0
1,26,12,0,1,0,4,0,2,1,0,0,1,2,0
1,22,10,8,0,0,3,0,0,1,0,0,0,2,0
1,34,7,0,2,1,0,0,0,1,1,0,1,1,0
1,22.75,11,30,0,0,5,0,0,1,1,0,0,0,0
1,41,7,0,1,1,5,0,0,1,1,0,0,3,1
1,42.25,12,10,0,0,5,0,0,1,0,0,0,0,1
1,23.5,14,0,0,0,1,0,0,1,0,0,0,2,0
1,25.5,14,10,0,0,1,0,0,22,1,0,0,3,0
1,20.25,13,0,0,0,3,0,0,1,0,0,1,2,0
1,33,12,0,1,1,3,0,0,1,1,0,0,0,0
1,25,10,0,0,0,5,0,0,1,0,0,0,3,0
1,23.5,9,40,0,0,4,0,1,1,1,0,0,1,0
1,28.5,12,0,0,0,0,0,0,1,0,0,0,3,0
1,29,16,0,1,0,1,0,0,13,1,0,0,2,0
1,28.5,12,0,2,0,5,0,0,1,0,0,0,0,0
1,33.75,8,0,4,0,4,0,0,1,0,0,1,0,0
1,38,8,24,0,2,5,0,1,1,1,0,1,2,0
1,32,9,40,0,0,3,2,1,1,0,0,0,3,0
1,28,12,40,0,0,1,0,0,48,1,0,0,0,0
1,32.75,10,0,2,1,4,0,0,1,0,0,1,3,0
1,25.5,13,0,0,0,5,0,0,1,0,0,1,2,0
1,29.75,12,0,1,0,5,0,0,1,0,0,0,0,0
1,31.75,17,48,1,0,5,0,0,13,1,0,1,2,0
1,42.25,7,0,0,2,5,0,0,1,1,0,0,0,2
1,27.75,12,0,0,0,5,0,0,40,1,0,1,1,0
1,21.5,9,0,0,0,1,0,0,12,0,0,0,0,0
1,31.5,12,0,1,0,4,0,0,36,0,0,1,1,0
2,24.5,12,38,0,0,5,0,1,53,1,0,1,1,0
2,24.25,10,32,0,0,3,0,0,99,1,0,1,2,0
2,28,13,30,0,0,1,0,0,2,1,0,1,1,0
2,34,8,0,1,1,0,0,0,6,0,0,0,3,0
2,38,8,0,0,2,5,0,0,2,0,0,1,0,0
2,33,14,40,0,0,5,0,0,2,1,0,1,2,0
2,27.5,12,0,0,0,5,0,0,2,1,0,0,1,0
2,24.5,12,0,0,0,1,0,0,2,1,0,1,3,0
2,28.25,12,33,1,0,3,0,1,2,1,0,1,3,0
2,26.75,13,0,1,0,0,0,0,13,0,0,1,3,0
2,47.5,12,20,0,0,5,0,0,18,1,0,0,0,0
2,48.25,13,0,2,1,4,0,1,2,1,0,0,0,0
2,24.5,14,40,0,0,3,0,0,5,1,0,0,0,0
2,37.75,14,0,0,2,5,0,0,2,0,0,0,1,0
2,25.75,12,0,1,0,2,0,0,42,0,0,0,0,0
2,28.25,10,0,0,0,5,0,0,2,0,0,1,2,0
2,28.5,12,0,1,0,5,0,0,6,1,0,1,2,0
2,32,12,30,1,1,5,0,0,2,1,0,1,0,0
2,24,13,75,0,0,5,0,0,8,0,0,1,1,0
2,31,17,0,2,0,5,0,0,2,0,0,1,2,0
2,40.25,10,0,0,1,5,0,0,26,1,0,1,1,0
2,21,12,40,0,0,1,0,0,45,0,0,0,0,0
2,28.5,12,0,0,0,5,0,1,19,1,0,0,3,0
2,39,11,0,0,0,3,0,0,8,1,0,1,1,0
2,25.5,15,0,0,0,5,0,0,37,1,0,1,3,0
2,38.5,12,38,1,2,5,0,0,2,1,0,1,0,0
2,31.25,12,38,3,1,5,0,0,2,1,0,0,3,0
2,29,12,30,0,0,2,0,0,2,0,0,1,1,0
2,31,12,40,0,0,1,0,0,2,0,0,0,2,0
2,24.25,10,0,0,0,4,0,1,2,0,0,1,3,0
2,35.5,12,80,1,1,5,0,0,53,1,0,1,2,0
2,23.75,10,8,0,0,3,0,0,2,0,0,1,1,0
2,35.5,12,4,1,0,5,0,0,2,0,0,1,3,0
2,31,12,40,0,0,5,0,0,2,1,0,0,3,0
4,27.75,14,50,0,0,5,0,0,24,1,0,1,1,0
4,38,13,40,1,0,5,0,0,4,1,0,0,2,0
